Profile: Function timing, sorted by time
Date:    Tue Apr 18 22:34:19 2006


Program Statistics
------------------
    Command line at 2006 Apr 18 22:33: LiteEdit
    Total time: 18612.306 millisecond
    Time outside of functions: 16149.142 millisecond
    Call depth: 123
    Total functions: 668
    Total hits: 2005760
    Function coverage: 65.4%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 2463.163 millisecond
    Percent of time in module: 100.0%
    Functions in module: 668
    Hits in module: 2005760
    Module function coverage: 65.4%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     190.133   7.7      405.729  16.5      230 EditCtrl::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     146.169   5.9      410.816  16.7        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     126.718   5.1      126.718   5.1      687 GetNumNewLines(class CString const &,long,long) (utility.obj)
     120.801   4.9      129.201   5.2     1548 EditCtrl::GetNumCharsThatFit(class EditCtrl::CurDC const &,char const *,long,long,long &) (editctrl.obj)
     104.090   4.2      209.347   8.5      465 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     100.422   4.1      101.639   4.1       15 FileToString(class CString const &,bool) (utility.obj)
      97.435   4.0       99.116   4.0      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      92.286   3.7     1312.801  53.3      231 EditCtrl::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      70.663   2.9       73.753   3.0      232 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      57.021   2.3      659.871  26.8      230 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      52.076   2.1       52.076   2.1        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      48.721   2.0       49.842   2.0     2197 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      47.140   1.9       47.424   1.9       44 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      46.849   1.9       48.974   2.0       24 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      45.922   1.9      133.887   5.4       53 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      39.227   1.6       39.502   1.6      542 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class CodeLine>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class ColorScheme>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class LangElem const >::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class LangElem>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class Language>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class LineData>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<class Words>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<struct ParserTree<class Ptr<class LangElem> >::Node>::AddRef(void) (codecoloring.obj)
      37.615   1.5       37.615   1.5   162000 Ptr<struct ParserTree<enum Range::RangeMarkers>::Node>::AddRef(void) (codecoloring.obj)
      31.685   1.3       42.117   1.7      286 EditCtrl::PosFromChar(long) (editctrl.obj)
      28.716   1.2       34.033   1.4       23 Words::Load(class Persist &) (codecoloring.obj)
      28.481   1.2       53.211   2.2      465 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      27.902   1.1       30.953   1.3     2496 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
      27.078   1.1       27.078   1.1     6388 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      24.536   1.0       74.831   3.0     1013 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::insert(class Ptr<class LineData> *,unsigned int,class Ptr<class LineData> const &) (editctrl.obj)
      21.187   0.9       50.923   2.1      231 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      20.331   0.8      202.115   8.2    12736 EditCtrl::GetCodeLine(long) (editctrl.obj)
      19.468   0.8       19.689   0.8        1 _$E207 (codecoloring.obj)
