Profile: Function timing, sorted by time
Date:    Mon Apr 10 21:36:15 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 21:35: LiteEdit
    Total time: 9825.841 millisecond
    Time outside of functions: 8149.336 millisecond
    Call depth: 165
    Total functions: 676
    Total hits: 416307
    Function coverage: 64.5%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 1676.505 millisecond
    Percent of time in module: 100.0%
    Functions in module: 676
    Hits in module: 416307
    Module function coverage: 64.5%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     277.906  16.6      284.380  17.0     1002 EditCtrl::GetNumCharsThatFit(class CString const &,long,long &) (editctrl.obj)
     246.335  14.7      496.167  29.6        2 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     171.083  10.2      171.629  10.2       14 FileToString(class CString const &,bool) (utility.obj)
     168.219  10.0      652.025  38.9        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     118.047   7.0      133.607   8.0      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      75.503   4.5       63.859   3.8     2010 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
      59.342   3.5       59.342   3.5        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      48.648   2.9       22.982   1.4     1157 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
      43.085   2.6       43.371   2.6        1 _$E207 (codecoloring.obj)
      30.085   1.8       46.766   2.8       23 Words::Load(class Persist &) (codecoloring.obj)
      29.625   1.8       97.167   5.8        1 CLiteEditDlg::OnDestroy(void) (liteeditdlg.obj)
      25.650   1.5       25.650   1.5     5751 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      25.640   1.5       25.650   1.5        1 _$E209 (liteeditdlg.obj)
      21.886   1.3       21.886   1.3        2 SearchForFile(class CString &) (utility.obj)
      21.096   1.3       13.966   0.8     1560 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      19.026   1.1       10.220   0.6     3408 ParserTree<class Ptr<class LangElem> >::Node::FindChild(char) (codecoloring.obj)
      16.295   1.0        2.903   0.2     4518 EditCtrl::GetLineLength(long) (editctrl.obj)
      13.270   0.8       14.404   0.9        3 CLiteEditDlg::ResizeControls(void) (liteeditdlg.obj)
      12.171   0.7       12.209   0.7     1157 CodeLine::~CodeLine(void) (codecoloring.obj)
      12.071   0.7        0.000   0.0     2360 ParserTree<class Ptr<class LangElem> >::FindElement(class CString const &,long,bool,class Ptr<class LangElem> &,long &,long &) (codecoloring.obj)
      10.714   0.6       10.714   0.6      810 std::vector<class CString,class std::allocator<class CString> >::_Ucopy(class CString const *,class CString const *,class CString *) (codecoloring.obj)
      10.092   0.6       10.537   0.6        2 EditCtrl::SetTokenColors(class Ptr<class TokenColors>) (editctrl.obj)
       9.747   0.6        9.747   0.6     1154 EditCtrl::GetTextRange(long,long) (editctrl.obj)
       9.072   0.5        8.311   0.5       24 Range::Load(class Persist &) (codecoloring.obj)
       8.510   0.5        8.510   0.5     2224 std::vector<class Token,class std::allocator<class Token> >::_Destroy(class Token *,class Token *) (codecoloring.obj)
       8.462   0.5        8.296   0.5      119 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
       8.359   0.5      599.794  35.8        5 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
       8.356   0.5       19.192   1.1     1153 LineData::~LineData(void) (editctrl.obj)
       8.132   0.5        8.272   0.5        1 _$E231 (editctrl.obj)
       8.046   0.5      171.778  10.2       58 Language::AddLangElem(class Ptr<class LangElem> const &) (codecoloring.obj)
       7.706   0.5        7.706   0.5     1256 std::_Construct(struct WordList<class Ptr<class LangElem> >::Elem *,struct WordList<class Ptr<class LangElem> >::Elem const &) (codecoloring.obj)
       7.513   0.4      234.544  14.0       13 Language::DoPersist(class Persist &) (codecoloring.obj)
       7.174   0.4        7.174   0.4     3200 std::_Construct(class Ptr<class LineData> *,class Ptr<class LineData> const &) (editctrl.obj)
       7.068   0.4       15.560   0.9      578 std::vector<struct WordList<class Ptr<class LangElem> >::Elem,class std::allocator<struct WordList<class Ptr<class LangElem> >::Elem> >::insert(struct WordList<class Ptr<class LangElem> >::Elem *,unsigned int,struct WordList<class Ptr<class LangElem> >::Elem const &) (codecoloring.obj)
